event_type,event_date,user_id,project_name,organization,action,commits_count,files_changed,is_public,language
MergeEvent,2023-08-18,lisa_anderson,netflix/conductor,netflix,commented,,,False,Python
CommitEvent,2023-01-15,sophie_duval,facebook/relay,facebook,opened,8.0,10.0,True,TypeScript
CreateEvent,2023-08-17,mike_johnson,vercel/micro,vercel,commented,,,False,TypeScript
CommitEvent,2023-05-17,david_martinez,vercel/turbo,vercel,opened,15.0,18.0,False,Go
IssuesEvent,2023-04-14,lisa_anderson,microsoft/vscode,microsoft,created,,,True,JavaScript
PullRequestEvent,2023-12-06,anna_wilson,microsoft/dotnet,microsoft,reviewed,3.0,40.0,True,Python
PullRequestEvent,2023-05-01,tom_nelson,apache/spark,apache,approved,45.0,74.0,True,C++
CreateEvent,2023-05-25,sarah_chen,airbnb/lottie,airbnb,created,,,True,Java
CreateEvent,2023-03-09,emma_garcia,uber/kraken,uber,reviewed,,,False,JavaScript
CommitEvent,2023-06-20,james_smith,airbnb/mavericks,airbnb,commented,9.0,20.0,True,Go
PushEvent,2023-09-26,sarah_chen,airbnb/enzyme,airbnb,updated,4.0,7.0,True,Java
MergeEvent,2023-12-09,sarah_chen,netflix/archaius,netflix,opened,,,True,JavaScript
CreateEvent,2023-03-30,rachel_kim,elastic/beats,elastic,approved,,,True,Java
MergeEvent,2023-05-12,tom_nelson,apache/spark,apache,approved,,,True,Go
PullRequestEvent,2023-07-15,john_taylor,vercel/pkg,vercel,created,16.0,22.0,True,Python
PullRequestEvent,2023-08-15,john_taylor,google/angular,google,closed,31.0,20.0,True,C++
CommitEvent,2023-05-21,james_smith,vercel/next.js,vercel,approved,12.0,15.0,True,Rust
IssuesEvent,2023-02-17,john_taylor,uber/react-map-gl,uber,approved,,,True,TypeScript
IssuesEvent,2023-08-02,james_smith,google/chromium,google,merged,,,True,TypeScript
MergeEvent,2023-11-28,olivia_zhang,uber/kraken,uber,reviewed,,,True,Rust
IssuesEvent,2023-05-03,anna_wilson,elastic/beats,elastic,merged,,,False,TypeScript
CommitEvent,2023-10-11,john_taylor,vercel/next.js,vercel,reviewed,12.0,2.0,False,Python
PullRequestEvent,2023-12-23,mark_davis,google/angular,google,created,50.0,66.0,True,Go
PushEvent,2023-05-09,mark_davis,facebook/relay,facebook,merged,11.0,2.0,False,JavaScript
PullRequestEvent,2023-05-03,chris_lee,facebook/yoga,facebook,approved,3.0,33.0,False,Go
PullRequestEvent,2023-01-16,mike_johnson,facebook/jest,facebook,closed,24.0,81.0,False,Java
CommitEvent,2023-12-12,nina_patel,microsoft/vscode,microsoft,approved,3.0,22.0,True,Go
MergeEvent,2023-12-08,rachel_kim,facebook/relay,facebook,reviewed,,,False,TypeScript
MergeEvent,2023-11-19,jen_liu,facebook/jest,facebook,merged,,,False,Go
PushEvent,2023-11-26,tom_nelson,airbnb/mavericks,airbnb,opened,12.0,3.0,False,Java
PullRequestEvent,2023-04-30,rachel_kim,airbnb/mavericks,airbnb,commented,3.0,35.0,False,Python
IssuesEvent,2023-05-09,maria_rodriguez,hashicorp/vagrant,hashicorp,reviewed,,,False,TypeScript
MergeEvent,2023-07-03,robert_brown,hashicorp/vault,hashicorp,created,,,True,JavaScript
IssuesEvent,2023-06-27,anna_wilson,apache/flink,apache,reviewed,,,True,Python
CreateEvent,2023-11-27,john_taylor,google/kubernetes,google,commented,,,True,Go
IssuesEvent,2023-04-06,sophie_duval,facebook/jest,facebook,created,,,True,C++
PullRequestEvent,2023-11-01,olivia_zhang,microsoft/terminal,microsoft,closed,28.0,93.0,True,JavaScript
PushEvent,2023-11-26,nina_patel,uber/jaeger,uber,merged,9.0,10.0,True,C++
IssuesEvent,2023-08-06,robert_brown,uber/jaeger,uber,merged,,,True,Python
CommitEvent,2023-01-07,tom_nelson,facebook/relay,facebook,commented,11.0,16.0,True,TypeScript
MergeEvent,2023-02-23,olivia_zhang,google/chromium,google,opened,,,True,JavaScript
IssuesEvent,2023-09-25,mike_johnson,microsoft/vscode,microsoft,updated,,,True,TypeScript
MergeEvent,2023-12-11,mike_johnson,microsoft/playwright,microsoft,created,,,True,Go
IssuesEvent,2023-07-03,sophie_duval,airbnb/javascript,airbnb,created,,,False,JavaScript
